ID,名称,描述,图标,品质,物品等级,使用等级,是否绑定,价格,自动销毁时间,属性,基础值1,强化成长值,打造成长值,附加属性,基础值2,升级成长值,打造成长值,升级至指定物品
E表示装备,,,,每打造一次提升一个品质,每打造一次提升十个等级,每打造一次提升十个等级,,,毫秒,1~9,,,,,,,,
二三表示物品等级,,,,,,,,,,,,,,,,,,
其后代表英雄ID,,,,,,,,,,,,,,,,,,
首位代表品质,,,,,,,,,,,,,,,,,,
W1011001,男主角,我是描述,1015,1,1,1,1,500,-1,2,10,1,0.5,3,0,2,2,
W1011002,丛林收割者,我是描述,1021,1,1,1,1,500,-1,2,10,1,0.5,,,,,
W1011003,大雪人,我是描述,1032,1,1,1,1,500,-1,2,10,1,0.5,,,,,
W1011004,铁拳,我是描述,1041,1,1,1,1,500,-1,2,10,1,0.5,3,0,2,2,
W1011005,思维守护者,我是描述,1054,1,1,1,1,500,-1,2,10,1,0.5,,,,,
W1011006,守护兽,我是描述,1062,1,1,1,1,500,-1,2,10,1,0.5,,,,,
W1011007,男配角,我是描述,1071,1,1,1,1,500,-1,2,10,1,0.5,3,0,1,1.25,
W1011008,双星少主,我是描述,1085,1,1,1,1,500,-1,2,10,1,0.5,3,0,1,0.25,
W1011009,炎城首领,我是描述,1092,1,1,1,1,500,-1,2,10,1,0.5,3,0,1,1.25,
W1011010,上古沙魂,我是描述,1105,1,1,1,1,500,-1,2,10,1,0.5,3,0,4,3,
W1012001,太阳圣女,我是描述,2015,1,1,1,1,500,-1,2,10,1,0.5,4,0,2,1,
W1012002,沙漠毒蝎,我是描述,2021,1,1,1,1,500,-1,2,10,1,0.5,4,0,1,0.75,
W1012003,血妖,我是描述,2033,1,1,1,1,500,-1,2,10,1,0.5,4,0,2,1.1,
W1012004,小师妹,我是描述,2043,1,1,1,1,500,-1,2,10,1,0.5,4,0,1,1.2,
W1012005,月亮公主,我是描述,2055,1,1,1,1,500,-1,2,10,1,0.5,4,0,2,1.05,
W1012006,黑巫师,我是描述,2062,1,1,1,1,500,-1,2,10,1,0.5,4,0,1,1.25,
W1012007,流风湾寨主,我是描述,2074,1,1,1,1,500,-1,2,10,1,0.5,4,0,1,1.25,
W1012008,星月使者,我是描述,2082,1,1,1,1,500,-1,2,10,1,0.5,4,0,2,1.9,
W1012009,死灵杀手,我是描述,2092,1,1,1,1,500,-1,2,10,1,0.5,4,0,4,2,
W1012010,上古火魂,我是描述,2104,1,1,1,1,500,-1,2,10,1,0.5,4,0,4,2,
W1012011,火焰精灵,我是描述,2115,1,1,1,1,500,-1,2,10,1,0.5,4,0,4,2.5,
W1013001,传送门守护者,我是描述,3011,1,1,1,1,500,-1,2,10,1,0.5,3,0,2,2,
W1013002,蝙蝠妖,我是描述,3021,1,1,1,1,500,-1,2,10,1,0.5,4,0,2,1,
W1013003,占星师学徒,我是描述,3031,1,1,1,1,500,-1,2,10,1,0.5,3,0,1,0.75,
W1013004,丛林土著,我是描述,3042,1,1,1,1,500,-1,2,10,1,0.5,3,0,1,0.5,
W1013005,灵魂医士,我是描述,3052,1,1,1,1,500,-1,2,10,1,0.5,4,0,2,1,
W1013006,时间傀儡,我是描述,3065,1,1,1,1,500,-1,2,10,1,0.5,3,0,2,2.5,
W1013007,上古冰魂,我是描述,3075,1,1,1,1,500,-1,2,10,1,0.5,3,0,6,3,
W1013008,上古巫魂,我是描述,3083,1,1,1,1,500,-1,2,10,1,0.5,4,0,2,2.5,
